序号,特殊,年龄小,年龄大,文本,获得特殊能力,移除特殊能力,力,智,谋,精,辩,结束图片,死亡音效,结束文本,成就,成就系列号
19,3,12,20,邻国小国，其国君前来通好。,,,1,0,0,1,0,,,,,
20,2,30,40,"幼弟即位，马上赐死了大哥。幼弟突然说：“你一直密谋作反，来人，把他杀了！”我抗辩说：“幼弟，哥哥我对你这么好，绝对支持你当王，你为什么要杀我？”幼弟旁边的丞相笑着说：“君上必须果断，不要为亲情耽误社稷大计！“我热泪盈眶拿出宝剑，冰冷的剑锋在脖子上抹过。{换行}
《史记·秦始皇本纪》）將閭乃仰天大呼天者三，曰：「天乎！吾無罪！」昆弟三人皆流涕拔劍自殺。",,,-1,0,0,0,0,dead2,dead2,,骨肉相残,4
21,3,16,30,国强民富，有逐鹿中原之心,,,0,0,0,0,0,,,,,
22,3,16,30,以田氏的后代 ：和 为相，此人能力极强，国力提升，国家安定。我就有时间四处旅行，饮酒。,,,0,0,0,0,0,,,,,
23,3,18,30,重用外族人：猛，推行一系列政策与民休息、加强生产，终令国家强盛,,,0,1,-2,0,0,,,,,
24,3,16,30,前朝的老功臣相继秉政，我临朝一般不说话。,,,0,0,0,0,0,,,,,
25,2,25,35,天灾四起后，流寇步步进迫，太监逼迫皇帝自杀，迎我入宫。我宣布去除帝号，并设计除掉太监。虽然如此，大军还是攻进了咸阳。我摘下冠冕，献出玉玺，求对方赐我不死，对方同意了。没想到几个星期后，另一支大军杀入咸阳，为首的大将与我族有血海深仇，屠杀了我和我的宗室，我死了。,,,-2,0,0,0,0,dead3,dead4,,,
26,3,18,30,皇后很泼辣，干预政事，无所忌惮。,,,0,0,0,0,0,,,,,
27,3,22,35,以军事力量消灭周边多个独立政权，成功统一一方,,,3,0,0,0,-1,,,,,
28,3,22,35,领军攻伐北方，但惨败而归。,,,0,-1,0,-1,0,,,,,
29,2,25,35,面对西方的入侵，没能保住土地，率众北走故城，但先后遇上儿子 及大臣 的叛乱。西方敌人诱我归王城，复兴心切，不料为诡计，被设伏杀害。,,,0,0,0,0,0,dead4,dead5,,,
30,3,25,35,关外发生起义，官兵节节败退。但大臣对此闭口不谈，任凭我怎么问都不肯开口。,,,0,0,0,0,0,,,,,
31,2,25,35,这天我忍不住责问大臣，平叛的军队到底怎么样了。大臣还是支支吾吾地离开。没多久，首都禁卫军居然带兵包围我的宫殿，逼我自杀。我说：“能给我当一个郡王吗？”对方摇摇头。我又说：“我只想当一个万户侯，行吗？”他又摇摇头。我颤巍巍地说：“那……那我当一个平民就行，饶了我吧！”他还是摇摇头，说：“我奉丞相之名，取陛下人头！”我绝望地拿起匕首，捅向自己的心脏。,,,-1,0,0,0,0,dead1,dead6,,,
32,3,25,40,发动对南方敌国的战争，虽然大胜，但人马死伤近半，又使军民疲惫，怨声不已。,,,3,0,0,0,-1,,,,,
33,0,28,40,安度中年，平安无事,,,0,0,0,-1,0,,,,活,4
34,0,28,40,两个年幼儿子，相继去世，王位失嗣。,,,0,-1,0,-1,0,,,,,
35,0,38,60,安度晚年，平安无事,,,0,0,0,-1,0,,,,活,5
36,2,25,50,驻边大将突回宫中，称有要是禀告，进宫后将我击杀。并与早就串通好的大臣，夺去王位。,,,0,-1,0,0,0,dead2,dead7,,,
37,2,25,50,小道消息获知，亲弟欲在我死后废王子自立。欲杀亲弟，他却抢先奔亡他国，借他人之助，反而杀我自立，自立为王。,,,0,0,0,0,0,dead3,dead8,,骨肉相残,5
38,2,25,50,北方敌人侵袭，决定御驾亲征，兵峰突入敌人腹地，竟为奸计，被俘。我弟被拥立为王，三年后北方敌人竟将我放回，回国之后，被我弟软禁，郁郁而终。,,,0,0,0,0,0,dead4,dead1,,骨肉相残,6
39,2,30,50,"太子骄奢侈，意欲罢黜太子，改立次子为太子，十月，废太子与武将叛乱，围困王宫，出逃无望，自缢而死
《左传·文公元年》：“十月，以宫甲围成王。王请食熊蹯而死，弗听，丁未，王缢。”",,,0,0,0,0,0,dead1,dead2,,,
40,2,30,50,边疆的四弟突然发动发兵攻入王城。抵抗不及，被杀害。四弟自立后，宣称我消失不见。,,,-1,0,0,0,0,dead2,dead3,,骨肉相残,7
41,2,25,40,任颇有武功臣子为令尹，主兵事。但听闻此人有篡位野心。此人出使郑国，听闻我患病而还。十二月，借入宫问疾之机弑君，并杀其子而自立,,,0,0,-1,0,0,dead3,dead4,,,
42,2,35,50,"巡行归来，能臣发动政变。放逐到小岛，意图反扑却失了人心。后来唯一的食邑也被收回，只好在钭坡上挖洞为灶；而能臣自立为王。郁郁而终。
“食一城，以奉其先祀”《史记·齐太公世家》",,,0,0,0,-1,-1,dead4,dead5,,,
43,2,35,50,与东南敌国军事对峙。发动战争意图消灭之，经过大战后败北，国家亦陷入混乱，各领主纷纷叛变独立，最终亦遭外族人迫害，被绞死于佛寺。,,,-1,0,0,0,0,dead1,dead6,,,
44,2,35,50,继位后的多年，未有建树。旋而大举推行向远古看齐的复古改革，引发社会动荡，再加上黄河改道等天灾，以致各地豪强与暴民纷起，被叛军所杀。,,,0,0,0,0,0,dead2,dead7,,,
45,2,40,50,"人至晚年，意图长生不老，服食寒食散（吸毒），因此刚愎自用、猜忌多疑。想起昔日一点不满就要诛杀大臣。大臣们大都惶恐度日。次子的母亲有过失，我幽禁她于宫中，准备处死。到黄昏时仍未决。她向儿子求救。次子与宫中守兵及宦官串通，当晚带人翻墙入宫，将我刺杀。
",,,0,-1,0,0,-1,dead3,dead8,,,
46,2,40,60,命令太子当监国执政，太子被宦官谗言唆使，将我害死继位。,,,0,0,0,0,-1,dead4,dead1,,,
47,2,40,60,自觉年事已高，为享受够人间。开始肆意行事，荒淫无道，做出很多残暴甚至乱伦的行为，半年后就在近臣等人策划下，被王后刺杀。,,,0,0,-1,-1,0,dead1,dead2,,,
48,2,40,60,晚年时，自觉天年已近。残暴，杀人如草芥。夫人在世时尚能劝止，死后却大肆淫乱，甚至乱伦，包括儿媳都得入宫侍寝。后为三子所弑父。,,,0,0,0,0,0,dead2,dead3,,,
49,2,35,60,自奉甚俭、治家严苛。曾命三名行为不端的嫡子自尽。病逝,,,2,0,0,0,0,,dead4,病逝,,
